OrganismType,ParentGenotype,ParentGamete,OffspringGenotype,OffspringPhenotype
Flora,AABB,ab,aab,White Wrinkled
Flora,aaBB,aB,aaBB,White Round
Fauna,EEtt,Et,EETt,"TailShort,Brown"
Fauna,EeTt,et,EeTt,"TailShort,Brown"
Flora,AA,A,AAb,Purple Wrinkled
Flora,AA,A,AaB,Purple Round
Fauna,EeTt,Et,EeTt,"TailShort,Brown"
Fauna,EeTT,ET,EeTT,"TailShort,Brown"
Flora,AaBb,aB,AaBb,Purple Round
Fauna,EeTt,et,eeTt,"TailShort,Black"
Flora,Aa,A,AAB,Purple Round
Fauna,eett,et,eett,"TailLong,Black"
Flora,AABB,AB,AABb,Purple Round
Fauna,eeTT,eT,eeTT,"TailShort,Black"
Fauna,EETt,ET,EETt,"TailShort,Brown"
Fauna,eett,et,eeTt,"TailShort,Black"
Flora,AAbb,Ab,Aabb,Purple Wrinkled
Flora,AaBb,aB,AaB,Purple Round
Fauna,EEtt,Et,Eett,"TailLong,Brown"
Flora,aaBB,aB,AaB,Purple Round
Fauna,eett,et,EeTt,"TailShort,Brown"
Flora,AA,A,AA,Purple Flowers
Flora,AABB,ab,aabb,White Wrinkled
Flora,aabb,ab,Aabb,Purple Wrinkled
Flora,AABB,aB,aaB,White Round
Flora,AaBb,ab,aab,White Wrinkled
Fauna,eett,et,eett,"TailLong,Black"
Flora,aaBB,aB,AaBB,Purple Round
Flora,aabb,ab,aaBb,White Round
Fauna,eeTT,eT,eeTt,"TailShort,Black"
Flora,AaBb,AB,AaBb,Purple Round
Flora,AAbb,Ab,Aab,Purple Wrinkled
Flora,AaBb,ab,AaBb,Purple Round
Fauna,eeTT,eT,EeTT,"TailShort,Brown"
Flora,aaBB,aB,AaB,Purple Round
Fauna,EETT,ET,EETT,"TailShort,Brown"
Fauna,EeTT,ET,EETt,"TailShort,Brown"
Fauna,EeTt,ET,EETT,"TailShort,Brown"
Fauna,EETT,ET,EeTT,"TailShort,Brown"
Fauna,EeTt,Et,EEtt,"TailLong,Brown"
Flora,AA,A,Aa,Purple Flowers
Fauna,EeTt,ET,EETt,"TailShort,Brown"
Flora,aa,a,Aab,Purple Wrinkled
Fauna,eeTT,eT,EeTT,"TailShort,Brown"
Fauna,EeTT,ET,EeTT,"TailShort,Brown"
Fauna,EETt,Et,EeTt,"TailShort,Brown"
Fauna,EETT,ET,EETT,"TailShort,Brown"
Flora,aa,a,aa,White Flowers
Fauna,EeTT,eT,eeTT,"TailShort,Black"
Fauna,EETT,ET,EeTt,"TailShort,Brown"
Flora,aa,a,Aa,Purple Flowers
Flora,AAbb,Ab,AaBb,Purple Round
Fauna,EETT,ET,EETT,"TailShort,Brown"
Fauna,eeTT,eT,EeTt,"TailShort,Brown"
