Habitat,Ukuran,Perlindungan,Populasi,Tipe_Spesies,Lokasi,Status_Konservasi
Perairan,Sedang,Dilindungi,Sedang,Flora,Medan,Aman
Hutan,Sedang,Dilindungi,Tinggi,Fauna,Makassar,Aman
Perairan,Besar,Dilindungi,Rendah,Flora,Surabaya,Aman
Perairan,Sedang,Dilindungi,Sedang,Flora,Makassar,Aman
Hutan,Kecil,Tidak Dilindungi,Tinggi,Flora,Makassar,Hampir Punah
Hutan,Kecil,Dilindungi,Rendah,Fauna,Bandung,Hampir Punah
Perairan,Kecil,Tidak Dilindungi,Sedang,Flora,Surabaya,Hampir Punah
Gurun,Besar,Tidak Dilindungi,Rendah,Flora,Surabaya,Hampir Punah
Perairan,Sedang,Dilindungi,Sedang,Flora,Surabaya,Aman
Perairan,Kecil,Tidak Dilindungi,Rendah,Fauna,Makassar,Terancam
Perairan,Besar,Tidak Dilindungi,Rendah,Flora,Medan,Terancam
Perairan,Sedang,Tidak Dilindungi,Tinggi,Flora,Surabaya,Terancam
Hutan,Besar,Tidak Dilindungi,Rendah,Flora,Makassar,Terancam
Perairan,Kecil,Dilindungi,Sedang,Flora,Bandung,Aman
Gurun,Kecil,Tidak Dilindungi,Sedang,Fauna,Medan,Hampir Punah
Hutan,Kecil,Dilindungi,Tinggi,Flora,Bandung,Aman
Gurun,Besar,Tidak Dilindungi,Sedang,Fauna,Medan,Aman
Gurun,Besar,Tidak Dilindungi,Sedang,Fauna,Makassar,Terancam
Gurun,Kecil,Dilindungi,Sedang,Fauna,Jakarta,Aman
Gurun,Besar,Tidak Dilindungi,Rendah,Flora,Medan,Terancam
Hutan,Kecil,Tidak Dilindungi,Rendah,Fauna,Bandung,Terancam
Hutan,Kecil,Tidak Dilindungi,Sedang,Flora,Makassar,Hampir Punah
Gurun,Sedang,Dilindungi,Tinggi,Fauna,Medan,Aman
Gurun,Besar,Tidak Dilindungi,Rendah,Fauna,Jakarta,Terancam
Hutan,Kecil,Dilindungi,Tinggi,Fauna,Jakarta,Terancam
Hutan,Kecil,Tidak Dilindungi,Sedang,Fauna,Surabaya,Hampir Punah
Hutan,Besar,Dilindungi,Sedang,Fauna,Surabaya,Aman
Perairan,Sedang,Dilindungi,Rendah,Fauna,Bandung,Hampir Punah
Perairan,Sedang,Tidak Dilindungi,Sedang,Fauna,Medan,Terancam
Perairan,Kecil,Tidak Dilindungi,Rendah,Fauna,Medan,Terancam
Gurun,Besar,Dilindungi,Sedang,Flora,Surabaya,Aman
Perairan,Sedang,Dilindungi,Sedang,Flora,Medan,Aman
